"Accessibility","Acessibilidade"
"VLibras Settings","Configurações VLibras"
"Enable VLibras","Habilitar VLibras"
"VLibras Widget","Widget VLibras"
"Brazilian Sign Language (Libras)","Língua Brasileira de Sinais (Libras)"
"Accessibility Widget","Widget de Acessibilidade"
"Widget Position","Posição do Widget"
"Bottom Right","Inferior Direito"
"Bottom Left","Inferior Esquerdo"
"Top Right","Superior Direito"
"Top Left","Superior Esquerdo"
"Widget Size","Tamanho do Widget"
"Small","Pequeno"
"Medium","Médio"
"Large","Grande"
"Auto-start","Início Automático"
"Start widget automatically","Iniciar widget automaticamente"
"Show on Mobile","Mostrar no Mobile"
"Display widget on mobile devices","Exibir widget em dispositivos móveis"
"Avatar","Avatar"
"Enable Avatar","Habilitar Avatar"
"Avatar Style","Estilo do Avatar"
"Hosana","Hosana"
"Guga","Guga"
"Ícaro","Ícaro"
"Show Subtitles","Mostrar Legendas"
"Display text subtitles","Exibir legendas de texto"
"High Contrast","Alto Contraste"
"Enable High Contrast Mode","Habilitar Modo Alto Contraste"
"Font Size Adjustment","Ajuste de Tamanho de Fonte"
"Allow font size changes","Permitir alteração de tamanho de fonte"
"Keyboard Navigation","Navegação por Teclado"
"Enhanced keyboard support","Suporte aprimorado para teclado"
"Screen Reader","Leitor de Tela"
"Screen reader optimization","Otimização para leitor de tela"
"ARIA Labels","Rótulos ARIA"
"Accessibility labels","Rótulos de acessibilidade"
"Skip Navigation","Pular Navegação"
"Skip to main content","Pular para conteúdo principal"
"Accessibility Statement","Declaração de Acessibilidade"
"View accessibility features","Ver recursos de acessibilidade"
"This site uses VLibras","Este site usa VLibras"
"Brazilian Sign Language interpreter","Intérprete de Língua Brasileira de Sinais"
"Click to activate","Clique para ativar"
"Accessibility options","Opções de acessibilidade"
"Increase font size","Aumentar tamanho da fonte"
"Decrease font size","Diminuir tamanho da fonte"
"Toggle high contrast","Alternar alto contraste"
