"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar para Comparar"
"Added to cart successfully","Adicionado ao carrinho com sucesso"
"Added to wishlist successfully","Adicionado à lista de desejos com sucesso"
"Added to compare successfully","Adicionado para comparar com sucesso"
"View Cart","Ver Carrinho"
Checkout,"Finalizar Compra"
"Continue Shopping","Continuar Comprando"
Item,Item
Price,Preço
Qty,Qtd
Subtotal,Subtotal
"You added %1 to your shopping cart.","Você adicionou %1 ao seu carrinho."
"You added %1 to your wish list.","Você adicionou %1 à sua lista de desejos."
"You added product %1 to the comparison list.","Você adicionou o produto %1 à lista de comparação."
"View All","Ver Todos"
"Shop Now","Comprar Agora"
"Quick View","Visualização Rápida"
Loading...,Carregando...
Search,Buscar
"Sign In","Entrar"
"Sign in to continue","Acesse sua conta"
"Email Address","E-mail ou CNPJ"
Password,Senha
"Forgot Your Password?","Esqueceu sua senha?"
"Create an Account","Cadastre-se como empresa"
"* Required Fields","* Campos obrigatórios"
or,ou
