Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
ZIYAD TRANSPORTES LTDA,ZIYAD TRANSPORTES LTDA,08.262.037/0003-61,796.902.442.119,R OLARIA,,94,CUMBICA,GUARULHOS,07223-260,SP
ZERO GRAU LOGÍSTICA LTDA,ZERO GRAU LOGISTICA LTDA,04.012.744/0003-49,492439781110,AV LOURENÇO BELLOLI,GALPÃO 10,700,PQ INDUST MAZZEI,OSASCO,06268-110,SP
ZEAGOSTINHO LOGÍSTICA TRANSPORTES E DISTRIBUIÇÃO LTDA,ZEAGOSTINHO TRANSPORTES,04.263.384/0004-39,336.667.959.115,RUA ITATIAIUCU,,49,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-080,SP
ZANOTELLI  TRANS PEPERI GUAÇU PASSAGEIROS CARGAS E MUDANÇAS LTDA,ZANOTELLI TRANSPORTES E LOGISTICA,95.826.285/0001-20,336738067116,AV. MONTEIRO,,370,CUMBICA,GUARULHOS,07224-000,SP
YURI PEREIRA DE MORAIS 33513534809,BOMGO,31.718.946/0001-11,ISENTO,RUA GALEAO,,45,JARDIM AERODROMO,GUARULHOS,07161-715,SP
YANO TRANSPORTES RODOVIARIOS LTDA,YANO TRANSPORTES RODOVIARIOS LTDA,02.732.881/0002-41, 336.640.829.117,RUA AREIAL,,77,CUMBICA,GUARULHOS,07224-020,SP
X-LOG TRANSPORTES LTDA,X-LOG TRANSPORTES LTDA,37.303.229/0002-96,127.375.292.111,RUA DA AVIACAO,ARMZ  DOCA 2 ,350,VILA SAO RAFAEL,GUARULHOS,07053-140,SP
WSP TRANSPORTES EIRELI,WSP TRANSPORTES,18.876.127/0005-68,796.858.382.118,RUA DA AVIACAO,,350,VILA SÃO RAFAEL,GUARULHOS,07053-140,SP
WRJ TRANSPORTES E LOGISTICA LTDA - ME,WRJ LOGISTICA ,14.834.939/0001-66,145.514.360.118,AV PAPA JOÃO PAULO I  ,,101,CUMBICA,GUARULHOS,17174-005,SP
WILLIAN HENRIQUE SOARES DOS SANTOS,WILLIAN HENRIQUE SOARES DOS SANTOS,,,AVENIDA PADRE FRANCISCO SALES COLTURATO,LOJA 9,651,CENTRO,ARARAQUARA,14801-250,SP
WELLINGTON DE SOUSA MARTINS FILHO,WELLINGTON DE SOUSA MARTINS FILHO (MW TRANSPORTES),14.366.013/0002-74,142.983.643.116,VL VINTE E UM DE ABRIL,107,101,BRAS,SAO PAULO,03047-007,SP
WEB MONTREAL CARGAS LOGISTICA DE TRANSPORTES EIRELI - ME,WEB MONTREAL CARGAS LOGISTICA DE TRANSPORTES EIRELI - ME,11.412.476/0001-56,ISENTO,RUA SANTANOPOLIS,,03,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-410,SP
W.L.M TRANSPORTES RODOVIARIOS LTDA,W.L.M TRANSPORTES,05.888.496/0002-86,148516150112,RUA DOMINGOS PACHECO,BOXE 1QUADRA 4,.,VILA SABRINA,SAO PAULO,03975-010,SP
VTL VISTA TRANSPORTES E LOGISTICA EIRELI,VTL VISTA TRANSPORTES E LOGISTICA EIRELI,13.587.123/0003-84,336587306115,RUA UTINGA,,330,JARDIM OLIVEIRA,GUARULHOS,07241-410,SP
VTEXLOG,VTEXLOG,05.314.972/0001-74,ISENTO,AVENIDA BRIGADEIRO LUIS ANTONIO,,44440,BELA VISTA,SAO PAULO,01318-002,SP
VS TRANSPORTES (RELAMPAGO),VS TRANSPORTES (RELAMPAGO),12.578.153/0002-80,336549803115,AV CARLOPOLIS,,242,PQ SAO LUIZ,GUARULHOS,07170-540,SP
VRF LOGISTICA E TRANSPORTES LTDA,VRF LOGISTICA E TRANSPORTES LTDA,21.692.434/0001-70,165467172110,AVENIDA PREFEITO ABDO NAJAR,,449,CIDADE JARDIM I,AMERICANA,13466-615,SP
VOO TRANSPORTES E LOGISTICA LTDA,VOO TRANSPORTES E LOGISTICA LTDA,05.897.963/0002-34,336.721.270.114,R PROFESSOR JOAO CAVALEIRO SALEM,ANDAR TERREO,1076,PARQUE DAS NAÇÕES,GUARULHOS,07243-580,SP
VOO JCV TRANSP.E LOG. LTDA,VOO LIVRE TRANSPORTES ,07.732.827/0002-10,336.782.688.110,R. GURJÃO,CIDADE IND SATELITE,17,CUMBICA,GUARULHOS,07224-040,SP
VM. RAMOS & CIA LT (GENEROSO) ,VM. RAMOS COMPANHIA LTDA ( GENEROSO),00.972.696/0001-18,114.557.147-117,AV PAPA JOAO PAULO I,CONDOMINIO EMPRESARIAL GALPAO 5 E 6 ,687,VILA AEROPORTO,GUARULHOS,07170-350,SP
VISAO TRANSPORTES E LOGISTICA LTDA - EPP,VISAO TRANSPORTES,10.783.704/0002-12,336.903.625.116,AV. SERRA BRANCA,,365,CUMBICA,GUARULHOS,07224-050,SP
VIOPEX TRANSPORTES LTDA.,VIOPEX TRANSPORTES LTDA.,15.103.383/0007-96,140.394.604.118,AVENIDA CRUZEIRO DO SUL,"SALA (PISO TÉRREO, BOX 1)",1800,CANINDE,SAO PAULO,02030-000,SP
VIARAPIDA LOGISTICA E TRANSPORTES LTDA,VIARAPIDA LOGISTICA E TRANSPORTES LTDA,08.375.813/0001-78,149.469.769.119,R CAP ALCOOCK,,664,JARDIM BRASIL (ZONA NORTE),SAO PAULO,02234-010,SP
VIAPACK IND. E COM. DE EMBALAGENS,VIAPACK IND. E COM. DE EMBALAGENS,10.840.277/0001-86,ISENTO,RUA JOSE ZANETTI,,681,CEAT,SAO CARLOS,13573-400,SP
VIAEXPRESS LOGISTICA E TRANSPORTES LTDA,VIAEXPRESS LOGISTICA E TRANSPORTES LTDA,53.185.633/0001-88,117.198.421.112,R DOZE DE SETEMBRO,,729,VILA GUILHERME,SAO PAULO,02052-000,SP
VIACAO SANTA CRUZ,VIACAO SANTA CRUZ,52.771.516/0138-98,142.725.849.111,RUA:GUSTAV WILLI BORGHOFF ,SALA 2 ,100,BARRA FUNDA,SAO PAULO,01144-080,SP
VIACAO NOVO HORIZONTE LTDA,VIACAO NOVO HORIZONTE LTDA,60.829.264/0001-84,111.961.202.110,RUA SOLDADO JOSE ANTONIO MOREIRA,,641,PARQUE NOVO MUNDO,SAO PAULO,02143-060,SP
VIACAO MOTA LTDA,VIACAO MOTA,55.340.921/0001-95,562016536116,RUA MOXEI,,110,LAPA DE BAIXO,SAO PAULO,05068-010,SP
VIACAO GARCIA LTDA  OBS:INATIVA FALIU,VIACAO GARCIA LTDA,78.586.674/0085-15,108677757111,AV:TOMAZ EDSON  ,,1006,BARRA FUNDA,SAO PAULO,01140-001,SP
VIAÇÃO DANÚBIO AZUL TRANSNP CARGAS E,VIAÇÃO DANÚBIO AZUL TRANSNP CARGAS E,49.512.916/0001-10,ISENTO,ÍTALO BOSCHIEIRO,,220,CAMPO LIMPO II,AMERICANA,13477-020,SP
VIACAO COMETA,.,61.084.018/0001-03,104320056118,RUA EUGENIO DE FREITAS,,118,VILA GUILHERME,SAO PAULO,02060-000,SP
VIA URBANA TRANSPORTES E DISTRIBUIÇÃO LTDA - ME,VIA URBANA TRANSPORTES E DISTRIBUIÇÃO LTDA - ME,19.894.611/0001-59,143332878116,RUA ATALIBA VIEIRA,,407,VILA MEDEIROS,SAO PAULO,02216-000,SP
VIA SEDEX  ACF JARDINS - FRAGA FRAGA LTDA 1636181213,VIA SEDEX  ACF JARDINS - FRAGA FRAGA LTDA 1636181213,69.016.657/0001-43,ISENTO,RUA HENRIQUE DUMONT,,882,JARDIM PAULISTA,RIBEIRAO PRETO,14090-200,SP
VIA CORREIO,VIA CORREIO,,,AV 36 S/N,.,.,CENTRO,ARARAQUARA,14808-000,SP
VERDE VALLE SAO FERNANDO TRANSPORTES EIRELI,VERDE VALLE SAO FERNANDO TRANSPORTES EIRELI,27.323.399/0001-06,796.562.980.118,R. FRANCISCA LUZANIRA PINHEIRO CANDÉA,,118,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-470,SP
VERA LUCIA SCIENSA PICIN OIOLI (VIAPACK),CAIXAS COLETIVA VIAPACK,10.896.734/0001-54,637.323.652.111,RUA JOSE ZANETTI,,681,CEAT,SAO CARLOS,13573-400,SP
VELOZ TRANSPORTES LTDA,VELOZ TRANSPORTES LTDA,10.860.752/0001-86,669639743110,RUA ANA CONCEICAO FRAGOSO,,162,CHACARAS REUNIDAS SAO JORGE,SOROCABA,18052-481,SP
VELOCITY ROUTE TRANSPORTES E LOGISTICA UNIPESSOAL LTDA,VELOCITY ROUTE,45.317.345/0001-01,134.294.806.112,RUA SOLDADO ANTONIO MARTINS DE OLIVEIRA,GALPAO06,17,PARQUE NOVO MUNDO,SAO PAULO,02177-040,SP
VELOCARGAS BRASIL TRANSPORTE RODOVIARIO E LOGISTICA LTDA,VELOCARGAS,32.767.123/0011-10,154397726117,RUA JOSE NILSON FERRETTI,GALPAO5,310,JARDIM SANTA LIDIA,GUARULHOS,07142-216,SP
VELOCARGAS BRASIL TRANSPORTE RODOVIARIO E LOGISTICA LTDA ,VELOCARGAS BRASIL TRANSPORTE RODOVIARIO E LOGISTICA LTDA ,32.767.123/0002-20,796.871.096.110,R PASCHOAL ZIMBARDI,,270,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-107,SP
VDC LOG TRANSPORTE E LOGISTICA MULTIMODAL LTDA,VDC LOG TRANSPORTE E LOGISTICA MULTIMODAL LTDA,19.852.860/0008-58,136.292.581.110,R CHARLES DARWIN,,669,VILA SANTA CATARINA,SAO PAULO,04379-072,SP
VCB TRANSPORTES LTDA,VCB TRANSPORTES LTDA,19.125.863/0002-02,113.839.158.119,RUA JOAQUIM MENDES,,162,CASA VERDE,SAO PAULO,02518-100,SP
VAZ COELHO TRANSPORTE RODOVIARIO DE CARGAS,VAZ COELHO TRANSPORTE RODOVIARIO DE CARGAS,21.533.194/0001-60,492395029114,"RUA, SÃO BENEDITO",,467,PORTÃO VERMELHO,VARGEM GRANDE PAULISTA,06730-000,SP
VANSUL TRANSPORTES RODOVIARIOS LTDA,VANSUL TRANSPORTES RODOVIARIOS LTDA,04.502.970/0003-08,336.804.200-115,R BALIZADA ,,125,JD NOVA CUMBICA,GUARULHOS,07222-090,SP
VAN CAR AUTO PECAS E MECANICA LTDA - ME,VAN CAR AUTO PECAS E MECANICA LTDA - ME,06.195.615/0001-05,181311865119,RUA VICTOR LACORTE,,276,SANTA LUCIA,ARARAQUARA,14800-120,SP
VALMIR BORGES DE CARVALHO,VALMIR BORGES DE CARVALHO,,,RUA CUSTODIA MARIA DOS SANTOS,,47,VILA AMERICA,MAUA,09320-160,SP
VALEN LOG TRANSPORTADORA LTDA,ANTIGA TIMTIM,40.058.392/0001-64,ISENTO,RUA SOLDADO JOSE RUFINO COSTA,BOX 2,213,PARQUE NOVO MUNDO,SAO PAULO,02144-020,SP
VALE TRANSPORTES E LOGISTICA LTDA - EPP ,EXPRESSO VALE ,17.467.330/0002-75,ISENTO,R SANTA VITORIA ,,522,CUMBICA,GUARULHOS,07223-120,SP
VALDLOG BRASIL TRANSPORTES LTDA,VALDLOG BRASIL TRANSPORTES LTDA,22.044.130/0001-69,124598692,AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO,PAVLH 1 BOX 14,53,COHAFUMA,SAO LUIS,65071-750,MA
VALDERCI VIUDES,VALDERCI VIUDES,,,RUA MATILDE JOSE CALIL,,66,JARDIM SANTA MARIA,SAO JOSE DO RIO PRETO,15080-290,SP
VALCIR PECCINI (TRANSCHICO),TRANSCHICO,14.422.729/0002-41,336.541.290.111,RUA MANOEL FERNANDES GARROTE,,628,JARDIM NOVO PORTUGAL,GUARULHOS,07160-520,SP
VAL TRANSPORTES MONTE ALTO LTDA - ME,VAL TRANSPORTES MONTE ALTO LTDA - ME,07.610.664/0001-11,461.097.382.116,RUA ANEZIO PANICHELI,,531,NOVO BELA VISTA,MONTE ALTO ,15910-000,SP
VAILOG TRANSPORTES EXPRESS LTDA,VAILOG TRANSPORTES EXPRESS LTDA,43.190.535/0001-85,131.804.751.118,RUA MARIA ANGELICA SOARES GOMES,,109,JARDIM MATARAZZO,SAO PAULO,03813-090,SP
V S OLIVEIRA TRANSPORTE E LOJISTICA EIRELI ,MESMO PETROCARGAS ,17.348.237/0002-41,796.163.019.113,R BELA VISTA DO PARAISO,GALPÃO 3,1782,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-000,SP
UX DELIVERY TRANSPORTES E CONSULTORIA LTDA.,UX DELIVERY TRANSPORTES E CONSULTORIA LTDA.,35.729.146/0002-38,260.436.178,RODOVIA JORGE LACERDA,ARMZ A GALPAOX,1208,ESPINHEIROS,ITAJAI,88317-100,SC
URUACU TRANSPORTES DE CARGAS LTDA ,URUACU TRANSPORTES DE CARGAS LTDA ,73.752.297/0001-15,10.264.481-0,AV MARIA DE MELO,QUADRA02 LOTE 09 GALPAO04	,SN ,ZONA INDUSTRIAL PEDRO ABRAAO,GOIANIA,74583-245,GO
